trial,n_samples,fairness_notion,epsilon,success
0,10,Exact EF,0.0,True
0,10,ε-EF1 (ε=0.01),0.01,True
0,10,ε-EF1 (ε=0.05),0.05,True
0,10,ε-EF1 (ε=0.1),0.1,True
0,10,ε-EF1 (ε=0.2),0.2,True
0,15,Exact EF,0.0,True
0,15,ε-EF1 (ε=0.01),0.01,True
0,15,ε-EF1 (ε=0.05),0.05,True
0,15,ε-EF1 (ε=0.1),0.1,True
0,15,ε-EF1 (ε=0.2),0.2,True
0,23,Exact EF,0.0,True
0,23,ε-EF1 (ε=0.01),0.01,True
0,23,ε-EF1 (ε=0.05),0.05,True
0,23,ε-EF1 (ε=0.1),0.1,True
0,23,ε-EF1 (ε=0.2),0.2,True
0,37,Exact EF,0.0,True
0,37,ε-EF1 (ε=0.01),0.01,True
0,37,ε-EF1 (ε=0.05),0.05,True
0,37,ε-EF1 (ε=0.1),0.1,True
0,37,ε-EF1 (ε=0.2),0.2,True
0,57,Exact EF,0.0,True
0,57,ε-EF1 (ε=0.01),0.01,True
0,57,ε-EF1 (ε=0.05),0.05,True
0,57,ε-EF1 (ε=0.1),0.1,True
0,57,ε-EF1 (ε=0.2),0.2,True
0,88,Exact EF,0.0,True
0,88,ε-EF1 (ε=0.01),0.01,True
0,88,ε-EF1 (ε=0.05),0.05,True
0,88,ε-EF1 (ε=0.1),0.1,True
0,88,ε-EF1 (ε=0.2),0.2,True
0,137,Exact EF,0.0,True
0,137,ε-EF1 (ε=0.01),0.01,True
0,137,ε-EF1 (ε=0.05),0.05,True
0,137,ε-EF1 (ε=0.1),0.1,True
0,137,ε-EF1 (ε=0.2),0.2,True
0,212,Exact EF,0.0,True
0,212,ε-EF1 (ε=0.01),0.01,True
0,212,ε-EF1 (ε=0.05),0.05,True
0,212,ε-EF1 (ε=0.1),0.1,True
0,212,ε-EF1 (ε=0.2),0.2,True
0,328,Exact EF,0.0,True
0,328,ε-EF1 (ε=0.01),0.01,True
0,328,ε-EF1 (ε=0.05),0.05,True
0,328,ε-EF1 (ε=0.1),0.1,True
0,328,ε-EF1 (ε=0.2),0.2,True
0,507,Exact EF,0.0,True
0,507,ε-EF1 (ε=0.01),0.01,True
0,507,ε-EF1 (ε=0.05),0.05,True
0,507,ε-EF1 (ε=0.1),0.1,True
0,507,ε-EF1 (ε=0.2),0.2,True
0,785,Exact EF,0.0,True
0,785,ε-EF1 (ε=0.01),0.01,True
0,785,ε-EF1 (ε=0.05),0.05,True
0,785,ε-EF1 (ε=0.1),0.1,True
0,785,ε-EF1 (ε=0.2),0.2,True
0,1215,Exact EF,0.0,True
0,1215,ε-EF1 (ε=0.01),0.01,True
0,1215,ε-EF1 (ε=0.05),0.05,True
0,1215,ε-EF1 (ε=0.1),0.1,True
0,1215,ε-EF1 (ε=0.2),0.2,True
0,1880,Exact EF,0.0,True
0,1880,ε-EF1 (ε=0.01),0.01,True
0,1880,ε-EF1 (ε=0.05),0.05,True
0,1880,ε-EF1 (ε=0.1),0.1,True
0,1880,ε-EF1 (ε=0.2),0.2,True
0,2908,Exact EF,0.0,True
0,2908,ε-EF1 (ε=0.01),0.01,True
0,2908,ε-EF1 (ε=0.05),0.05,True
0,2908,ε-EF1 (ε=0.1),0.1,True
0,2908,ε-EF1 (ε=0.2),0.2,True
0,4499,Exact EF,0.0,True
0,4499,ε-EF1 (ε=0.01),0.01,True
0,4499,ε-EF1 (ε=0.05),0.05,True
0,4499,ε-EF1 (ε=0.1),0.1,True
0,4499,ε-EF1 (ε=0.2),0.2,True
1,10,Exact EF,0.0,True
1,10,ε-EF1 (ε=0.01),0.01,True
1,10,ε-EF1 (ε=0.05),0.05,True
1,10,ε-EF1 (ε=0.1),0.1,True
1,10,ε-EF1 (ε=0.2),0.2,True
1,15,Exact EF,0.0,True
1,15,ε-EF1 (ε=0.01),0.01,True
1,15,ε-EF1 (ε=0.05),0.05,True
1,15,ε-EF1 (ε=0.1),0.1,True
1,15,ε-EF1 (ε=0.2),0.2,True
1,23,Exact EF,0.0,True
1,23,ε-EF1 (ε=0.01),0.01,True
1,23,ε-EF1 (ε=0.05),0.05,True
1,23,ε-EF1 (ε=0.1),0.1,True
1,23,ε-EF1 (ε=0.2),0.2,True
1,37,Exact EF,0.0,True
1,37,ε-EF1 (ε=0.01),0.01,True
1,37,ε-EF1 (ε=0.05),0.05,True
1,37,ε-EF1 (ε=0.1),0.1,True
1,37,ε-EF1 (ε=0.2),0.2,True
1,57,Exact EF,0.0,True
1,57,ε-EF1 (ε=0.01),0.01,True
1,57,ε-EF1 (ε=0.05),0.05,True
1,57,ε-EF1 (ε=0.1),0.1,True
1,57,ε-EF1 (ε=0.2),0.2,True
1,88,Exact EF,0.0,True
1,88,ε-EF1 (ε=0.01),0.01,True
1,88,ε-EF1 (ε=0.05),0.05,True
1,88,ε-EF1 (ε=0.1),0.1,True
1,88,ε-EF1 (ε=0.2),0.2,True
1,137,Exact EF,0.0,True
1,137,ε-EF1 (ε=0.01),0.01,True
1,137,ε-EF1 (ε=0.05),0.05,True
1,137,ε-EF1 (ε=0.1),0.1,True
1,137,ε-EF1 (ε=0.2),0.2,True
1,212,Exact EF,0.0,True
1,212,ε-EF1 (ε=0.01),0.01,True
1,212,ε-EF1 (ε=0.05),0.05,True
1,212,ε-EF1 (ε=0.1),0.1,True
1,212,ε-EF1 (ε=0.2),0.2,True
1,328,Exact EF,0.0,True
1,328,ε-EF1 (ε=0.01),0.01,True
1,328,ε-EF1 (ε=0.05),0.05,True
1,328,ε-EF1 (ε=0.1),0.1,True
1,328,ε-EF1 (ε=0.2),0.2,True
1,507,Exact EF,0.0,True
1,507,ε-EF1 (ε=0.01),0.01,True
1,507,ε-EF1 (ε=0.05),0.05,True
1,507,ε-EF1 (ε=0.1),0.1,True
1,507,ε-EF1 (ε=0.2),0.2,True
1,785,Exact EF,0.0,True
1,785,ε-EF1 (ε=0.01),0.01,True
1,785,ε-EF1 (ε=0.05),0.05,True
1,785,ε-EF1 (ε=0.1),0.1,True
1,785,ε-EF1 (ε=0.2),0.2,True
1,1215,Exact EF,0.0,True
1,1215,ε-EF1 (ε=0.01),0.01,True
1,1215,ε-EF1 (ε=0.05),0.05,True
1,1215,ε-EF1 (ε=0.1),0.1,True
1,1215,ε-EF1 (ε=0.2),0.2,True
1,1880,Exact EF,0.0,True
1,1880,ε-EF1 (ε=0.01),0.01,True
1,1880,ε-EF1 (ε=0.05),0.05,True
1,1880,ε-EF1 (ε=0.1),0.1,True
1,1880,ε-EF1 (ε=0.2),0.2,True
1,2908,Exact EF,0.0,True
1,2908,ε-EF1 (ε=0.01),0.01,True
1,2908,ε-EF1 (ε=0.05),0.05,True
1,2908,ε-EF1 (ε=0.1),0.1,True
1,2908,ε-EF1 (ε=0.2),0.2,True
1,4499,Exact EF,0.0,True
1,4499,ε-EF1 (ε=0.01),0.01,True
1,4499,ε-EF1 (ε=0.05),0.05,True
1,4499,ε-EF1 (ε=0.1),0.1,True
1,4499,ε-EF1 (ε=0.2),0.2,True
2,10,Exact EF,0.0,True
2,10,ε-EF1 (ε=0.01),0.01,True
2,10,ε-EF1 (ε=0.05),0.05,True
2,10,ε-EF1 (ε=0.1),0.1,True
2,10,ε-EF1 (ε=0.2),0.2,True
2,15,Exact EF,0.0,True
2,15,ε-EF1 (ε=0.01),0.01,True
2,15,ε-EF1 (ε=0.05),0.05,True
2,15,ε-EF1 (ε=0.1),0.1,True
2,15,ε-EF1 (ε=0.2),0.2,True
2,23,Exact EF,0.0,True
2,23,ε-EF1 (ε=0.01),0.01,True
2,23,ε-EF1 (ε=0.05),0.05,True
2,23,ε-EF1 (ε=0.1),0.1,True
2,23,ε-EF1 (ε=0.2),0.2,True
2,37,Exact EF,0.0,True
2,37,ε-EF1 (ε=0.01),0.01,True
2,37,ε-EF1 (ε=0.05),0.05,True
2,37,ε-EF1 (ε=0.1),0.1,True
2,37,ε-EF1 (ε=0.2),0.2,True
2,57,Exact EF,0.0,True
2,57,ε-EF1 (ε=0.01),0.01,True
2,57,ε-EF1 (ε=0.05),0.05,True
2,57,ε-EF1 (ε=0.1),0.1,True
2,57,ε-EF1 (ε=0.2),0.2,True
2,88,Exact EF,0.0,True
2,88,ε-EF1 (ε=0.01),0.01,True
2,88,ε-EF1 (ε=0.05),0.05,True
2,88,ε-EF1 (ε=0.1),0.1,True
2,88,ε-EF1 (ε=0.2),0.2,True
2,137,Exact EF,0.0,True
2,137,ε-EF1 (ε=0.01),0.01,True
2,137,ε-EF1 (ε=0.05),0.05,True
2,137,ε-EF1 (ε=0.1),0.1,True
2,137,ε-EF1 (ε=0.2),0.2,True
2,212,Exact EF,0.0,True
2,212,ε-EF1 (ε=0.01),0.01,True
2,212,ε-EF1 (ε=0.05),0.05,True
2,212,ε-EF1 (ε=0.1),0.1,True
2,212,ε-EF1 (ε=0.2),0.2,True
2,328,Exact EF,0.0,True
2,328,ε-EF1 (ε=0.01),0.01,True
2,328,ε-EF1 (ε=0.05),0.05,True
2,328,ε-EF1 (ε=0.1),0.1,True
2,328,ε-EF1 (ε=0.2),0.2,True
2,507,Exact EF,0.0,True
2,507,ε-EF1 (ε=0.01),0.01,True
2,507,ε-EF1 (ε=0.05),0.05,True
2,507,ε-EF1 (ε=0.1),0.1,True
2,507,ε-EF1 (ε=0.2),0.2,True
2,785,Exact EF,0.0,True
2,785,ε-EF1 (ε=0.01),0.01,True
2,785,ε-EF1 (ε=0.05),0.05,True
2,785,ε-EF1 (ε=0.1),0.1,True
2,785,ε-EF1 (ε=0.2),0.2,True
2,1215,Exact EF,0.0,True
2,1215,ε-EF1 (ε=0.01),0.01,True
2,1215,ε-EF1 (ε=0.05),0.05,True
2,1215,ε-EF1 (ε=0.1),0.1,True
2,1215,ε-EF1 (ε=0.2),0.2,True
2,1880,Exact EF,0.0,True
2,1880,ε-EF1 (ε=0.01),0.01,True
2,1880,ε-EF1 (ε=0.05),0.05,True
2,1880,ε-EF1 (ε=0.1),0.1,True
2,1880,ε-EF1 (ε=0.2),0.2,True
2,2908,Exact EF,0.0,True
2,2908,ε-EF1 (ε=0.01),0.01,True
2,2908,ε-EF1 (ε=0.05),0.05,True
2,2908,ε-EF1 (ε=0.1),0.1,True
2,2908,ε-EF1 (ε=0.2),0.2,True
2,4499,Exact EF,0.0,True
2,4499,ε-EF1 (ε=0.01),0.01,True
2,4499,ε-EF1 (ε=0.05),0.05,True
2,4499,ε-EF1 (ε=0.1),0.1,True
2,4499,ε-EF1 (ε=0.2),0.2,True
3,10,Exact EF,0.0,True
3,10,ε-EF1 (ε=0.01),0.01,True
3,10,ε-EF1 (ε=0.05),0.05,True
3,10,ε-EF1 (ε=0.1),0.1,True
3,10,ε-EF1 (ε=0.2),0.2,True
3,15,Exact EF,0.0,True
3,15,ε-EF1 (ε=0.01),0.01,True
