valuation_class,n_agents,n_items,epsilon,samples,is_ef1,epsilon_ef1,max_ef1_violation,theoretical,trial
additive,3,7,0.15,35763,True,True,0.0,50276.067459052276,0
additive,3,7,0.15,35763,True,True,0.0,50276.067459052276,1
additive,3,7,0.15,35763,True,True,0.0,50276.067459052276,2
additive,3,7,0.15,35763,True,True,0.0,50276.067459052276,3
additive,3,7,0.15,35763,True,True,0.0,50276.067459052276,4
additive,3,12,0.15,61308,True,True,0.0,93086.6994248966,0
additive,3,12,0.15,61308,True,True,0.0,93086.6994248966,1
additive,3,12,0.15,61308,True,True,0.0,93086.6994248966,2
additive,3,12,0.15,61308,True,True,0.0,93086.6994248966,3
additive,3,12,0.15,61308,True,True,0.0,93086.6994248966,4
additive,3,20,0.15,102180,True,True,0.0,166042.11234850212,0
additive,3,20,0.15,102180,True,True,0.0,166042.11234850212,1
additive,3,20,0.15,102180,True,True,0.0,166042.11234850212,2
additive,3,20,0.15,102180,True,True,0.0,166042.11234850212,3
additive,3,20,0.15,102180,True,True,0.0,166042.11234850212,4
unit_demand,3,7,0.15,35763,True,True,0.0,50276.067459052276,0
unit_demand,3,7,0.15,35763,True,True,0.0,50276.067459052276,1
unit_demand,3,7,0.15,35763,True,True,0.0,50276.067459052276,2
unit_demand,3,7,0.15,35763,True,True,0.0,50276.067459052276,3
unit_demand,3,7,0.15,35763,True,True,0.0,50276.067459052276,4
unit_demand,3,12,0.15,61308,True,True,0.0,93086.6994248966,0
unit_demand,3,12,0.15,61308,True,True,0.0,93086.6994248966,1
unit_demand,3,12,0.15,61308,True,True,0.0,93086.6994248966,2
unit_demand,3,12,0.15,61308,True,True,0.0,93086.6994248966,3
unit_demand,3,12,0.15,61308,True,True,0.0,93086.6994248966,4
unit_demand,3,20,0.15,102180,True,True,0.0,166042.11234850212,0
unit_demand,3,20,0.15,102180,True,True,0.0,166042.11234850212,1
unit_demand,3,20,0.15,102180,True,True,0.0,166042.11234850212,2
unit_demand,3,20,0.15,102180,True,True,0.0,166042.11234850212,3
unit_demand,3,20,0.15,102180,True,True,0.0,166042.11234850212,4
coverage,3,7,0.15,35763,True,True,0.0,104546.1432266511,0
coverage,3,7,0.15,35763,True,True,0.0,104546.1432266511,1
coverage,3,7,0.15,35763,True,True,0.0,104546.1432266511,2
coverage,3,7,0.15,35763,True,True,0.0,104546.1432266511,3
coverage,3,7,0.15,35763,True,True,0.0,104546.1432266511,4
coverage,3,12,0.15,61308,True,True,0.0,238762.6698781037,0
coverage,3,12,0.15,61308,True,True,0.0,238762.6698781037,1
coverage,3,12,0.15,61308,True,True,0.0,238762.6698781037,2
coverage,3,12,0.15,61308,True,True,0.0,238762.6698781037,3
coverage,3,12,0.15,61308,True,True,0.0,238762.6698781037,4
coverage,3,20,0.15,102180,True,True,0.0,505518.93665200815,0
coverage,3,20,0.15,102180,True,True,0.0,505518.93665200815,1
coverage,3,20,0.15,102180,True,True,0.0,505518.93665200815,2
coverage,3,20,0.15,102180,True,True,0.0,505518.93665200815,3
coverage,3,20,0.15,102180,True,True,0.0,505518.93665200815,4
submodular,3,7,0.15,35763,True,True,0.0,150828.20237715685,0
submodular,3,7,0.15,35763,True,True,0.0,150828.20237715685,1
submodular,3,7,0.15,35763,True,True,0.0,150828.20237715685,2
submodular,3,7,0.15,35763,True,True,0.0,150828.20237715685,3
submodular,3,7,0.15,35763,True,True,0.0,150828.20237715685,4
submodular,3,12,0.15,61308,True,True,0.0,279260.0982746898,0
submodular,3,12,0.15,61308,True,True,0.0,279260.0982746898,1
submodular,3,12,0.15,61308,True,True,0.0,279260.0982746898,2
submodular,3,12,0.15,61308,True,True,0.0,279260.0982746898,3
submodular,3,12,0.15,61308,True,True,0.0,279260.0982746898,4
submodular,3,20,0.15,102180,True,True,0.0,498126.3370455064,0
submodular,3,20,0.15,102180,True,True,0.0,498126.3370455064,1
submodular,3,20,0.15,102180,True,True,0.0,498126.3370455064,2
submodular,3,20,0.15,102180,True,True,0.0,498126.3370455064,3
submodular,3,20,0.15,102180,True,True,0.0,498126.3370455064,4
